suite,case,variant,batch_size,max_length,lora_rank,token_chunk,vocab_chunk,status,failure_type,tpu,chips,xla_train_step_gib_per_chip,runtime_peak_hbm_gb,runtime_hbm_limit_gb,mean_step_time_sec_excl_first,valid_tokens_per_sec_excl_first,wall_time_sec,xla_report
chunk_tuning,chunk_tuning_cce_r16_b16_l4096_tc128_vc32768,cce,16,4096,16,128,32768,failed,compile_oom,v5litepod-1,1,33.87,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l4096_tc128_vc32768/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l4096_tc256_vc4096,cce,16,4096,16,256,4096,failed,compile_oom,v5litepod-1,1,33.87,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l4096_tc256_vc4096/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l4096_tc256_vc8192,cce,16,4096,16,256,8192,failed,compile_oom,v5litepod-1,1,33.87,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l4096_tc256_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l4096_tc256_vc16384,cce,16,4096,16,256,16384,failed,compile_oom,v5litepod-1,1,33.87,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l4096_tc256_vc16384/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l4096_tc256_vc32768,cce,16,4096,16,256,32768,failed,compile_oom,v5litepod-1,1,33.87,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l4096_tc256_vc32768/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l4096_tc512_vc4096,cce,16,4096,16,512,4096,failed,compile_oom,v5litepod-1,1,33.87,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l4096_tc512_vc4096/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l4096_tc512_vc8192,cce,16,4096,16,512,8192,failed,compile_oom,v5litepod-1,1,33.87,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l4096_tc512_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l4096_tc512_vc16384,cce,16,4096,16,512,16384,failed,compile_oom,v5litepod-1,1,33.87,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l4096_tc512_vc16384/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
chunk_tuning,chunk_tuning_cce_r16_b16_l4096_tc512_vc32768,cce,16,4096,16,512,32768,failed,compile_oom,v5litepod-1,1,33.87,,,,,,/tmp/gemma3-270m-cce-rerun/chunk_tuning/chunk_tuning_cce_r16_b16_l4096_tc512_vc32768/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
pressure_points,pressure_points_default_r16_b16_l512_tc128_vc8192,default,16,512,16,128,8192,ok,,v5litepod-1,1,12.57,1.419611136,16.909336064,0.1288208720001193,13786.58576382214,44.7819569520002,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_default_r16_b16_l512_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
pressure_points,pressure_points_default_r16_b16_l1024_tc128_vc8192,default,16,1024,16,128,8192,failed,compile_oom,v5litepod-1,1,21.36,,,,,,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_default_r16_b16_l1024_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
pressure_points,pressure_points_default_r16_b16_l2048_tc128_vc8192,default,16,2048,16,128,8192,failed,compile_oom,v5litepod-1,1,48.2,,,,,,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_default_r16_b16_l2048_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
pressure_points,pressure_points_default_r16_b16_l4096_tc128_vc8192,default,16,4096,16,128,8192,failed,resource_exhausted,v5litepod-1,1,93.66,,,,,,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_default_r16_b16_l4096_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
pressure_points,pressure_points_cce_r16_b16_l512_tc128_vc8192,cce,16,512,16,128,8192,ok,,v5litepod-1,1,4.98,1.419352064,16.909336064,0.2053265042500243,8649.638323542393,45.69938210000009,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_cce_r16_b16_l512_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
pressure_points,pressure_points_cce_r16_b16_l1024_tc128_vc8192,cce,16,1024,16,128,8192,ok,,v5litepod-1,1,9.65,1.433532928,16.909336064,0.4476666607500874,3967.237580355493,47.231030207,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_cce_r16_b16_l1024_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
pressure_points,pressure_points_cce_r16_b16_l2048_tc128_vc8192,cce,16,2048,16,128,8192,failed,compile_oom,v5litepod-1,1,16.42,,,,,,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_cce_r16_b16_l2048_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
pressure_points,pressure_points_cce_r16_b16_l4096_tc128_vc8192,cce,16,4096,16,128,8192,failed,compile_oom,v5litepod-1,1,33.87,,,,,,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_cce_r16_b16_l4096_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
pressure_points,pressure_points_default_r16_b32_l512_tc128_vc8192,default,32,512,16,128,8192,failed,compile_oom,v5litepod-1,1,21.32,,,,,,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_default_r16_b32_l512_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
pressure_points,pressure_points_default_r16_b32_l1024_tc128_vc8192,default,32,1024,16,128,8192,failed,compile_oom,v5litepod-1,1,45.45,,,,,,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_default_r16_b32_l1024_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
pressure_points,pressure_points_default_r16_b32_l2048_tc128_vc8192,default,32,2048,16,128,8192,failed,resource_exhausted,v5litepod-1,1,89.54,,,,,,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_default_r16_b32_l2048_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
pressure_points,pressure_points_default_r16_b32_l4096_tc128_vc8192,default,32,4096,16,128,8192,failed,resource_exhausted,v5litepod-1,1,180.68,,,,,,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_default_r16_b32_l4096_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
pressure_points,pressure_points_cce_r16_b32_l512_tc128_vc8192,cce,32,512,16,128,8192,ok,,v5litepod-1,1,8.13,1.443377664,16.909336064,0.4163587544999245,8603.157640583848,47.17989030900026,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_cce_r16_b32_l512_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
pressure_points,pressure_points_cce_r16_b32_l1024_tc128_vc8192,cce,32,1024,16,128,8192,ok,,v5litepod-1,1,14.26,1.17110016,16.909336064,0.9239700919997632,3876.748859097182,47.74189537499933,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_cce_r16_b32_l1024_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
pressure_points,pressure_points_cce_r16_b32_l2048_tc128_vc8192,cce,32,2048,16,128,8192,failed,compile_oom,v5litepod-1,1,28.88,,,,,,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_cce_r16_b32_l2048_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
pressure_points,pressure_points_cce_r16_b32_l4096_tc128_vc8192,cce,32,4096,16,128,8192,failed,compile_oom,v5litepod-1,1,62.61,,,,,,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_cce_r16_b32_l4096_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
pressure_points,pressure_points_default_r16_b64_l512_tc128_vc8192,default,64,512,16,128,8192,failed,compile_oom,v5litepod-1,1,57.41,,,,,,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_default_r16_b64_l512_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
pressure_points,pressure_points_default_r16_b64_l1024_tc128_vc8192,default,64,1024,16,128,8192,failed,resource_exhausted,v5litepod-1,1,88.02,,,,,,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_default_r16_b64_l1024_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
pressure_points,pressure_points_default_r16_b64_l2048_tc128_vc8192,default,64,2048,16,128,8192,failed,resource_exhausted,v5litepod-1,1,177.59,,,,,,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_default_r16_b64_l2048_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
pressure_points,pressure_points_default_r16_b64_l4096_tc128_vc8192,default,64,4096,16,128,8192,failed,resource_exhausted,v5litepod-1,1,342.22,,,,,,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_default_r16_b64_l4096_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
pressure_points,pressure_points_cce_r16_b64_l512_tc128_vc8192,cce,64,512,16,128,8192,ok,,v5litepod-1,1,14.13,1.149143552,16.909336064,0.8430347010000787,8557.180376373768,43.36879208299979,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_cce_r16_b64_l512_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
pressure_points,pressure_points_cce_r16_b64_l1024_tc128_vc8192,cce,64,1024,16,128,8192,failed,compile_oom,v5litepod-1,1,25.16,,,,,,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_cce_r16_b64_l1024_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
pressure_points,pressure_points_cce_r16_b64_l2048_tc128_vc8192,cce,64,2048,16,128,8192,failed,compile_oom,v5litepod-1,1,53.87,,,,,,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_cce_r16_b64_l2048_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
pressure_points,pressure_points_cce_r16_b64_l4096_tc128_vc8192,cce,64,4096,16,128,8192,failed,compile_oom,v5litepod-1,1,108.75,,,,,,/tmp/gemma3-270m-cce-rerun/pressure_points/pressure_points_cce_r16_b64_l4096_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
frontier_high,frontier_high_default_r16_b16_l256_tc128_vc8192,default,16,256,16,128,8192,ok,,v5litepod-1,1,6.71,1.377853952,16.909336064,0.0993293099999164,17879.918827599777,54.59735316599995,/tmp/gemma3-270m-cce-rerun/frontier_high/frontier_high_default_r16_b16_l256_tc128_vc8192/xla/module_0636.jit__train_step.cl_914450892.after_optimizations-memory-usage-report.txt
