model,suite,mesh,batch_size,max_length,eval_loss_cce,eval_loss_default,final_loss_cce,final_loss_default,mean_step_time_sec_excl_first_cce,mean_step_time_sec_excl_first_default,valid_tokens_per_sec_excl_first_cce,valid_tokens_per_sec_excl_first_default,xla_train_step_gib_per_chip_cce,xla_train_step_gib_per_chip_default,xla_reduction_pct,step_time_multiplier_cce_vs_default,loss_delta_cce_minus_default
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,32,512,,,2.3893115520477295,2.3893871307373047,46.23313899999994,42.0646034320016,76.82800858492443,84.44154253687164,2.77,6.59,57.96661608497724,1.099098415957656,-7.557868957519531e-05
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,32,1024,,,2.3499786853790283,2.347627639770508,53.19177972699981,45.44353385900104,66.7772354719131,78.16293536987887,5.69,13.48,57.7893175074184,1.1705027142484006,0.002351045608520508
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,32,2048,,,2.377796173095703,,55.57653470199875,,63.9118653051295,,13.17,,,,
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,64,256,,,2.344691276550293,2.3529069423675537,46.0530226339979,41.361923780001234,155.47296551853788,173.10606823036375,2.63,6.45,59.22480620155039,1.1134158768568894,-0.008215665817260742
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,64,512,,,2.335801362991333,2.3409149646759033,54.98364968700116,45.70135098800165,130.2205299349693,156.66932913820804,5.12,12.97,60.524286815728615,1.2031077527978653,-0.0051136016845703125
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,64,1024,,,2.345449447631836,,56.030847379999614,,127.78675202680915,,10.92,,,,
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,128,256,,,2.280816078186035,2.2844934463500977,54.37930507300189,47.22941254499892,265.9835387852548,306.24983925470355,4.84,12.7,61.88976377952755,1.151386437872602,-0.0036773681640625
Gemma3 270M,fourchip_frontier_fsdp1_tp4,fsdp1/tp4,128,512,,,2.2917211055755615,,54.97751453100136,,263.0893761456581,,9.7,,,,
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,1,256,,,2.3504552841186523,2.36549711227417,0.574421440000151,0.1120515729999169,189.75614837769868,972.7663528657538,0.7277522087097168,0.3118524551391601,-133.36427105727512,5.126402286209557,-0.015041828155517578
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,1,512,,,2.3905534744262695,2.3550636768341064,1.057749167000111,0.1134502810000412,103.04900575732486,960.7732923989878,0.7232537269592285,0.6596794128417969,-9.637152968525008,9.323460089091597,0.035489797592163086
Gemma3 270M,fourchip_frontier_fsdp2_tp2,fsdp2/tp2,1,1024,,,2.3905534744262695,2.3550636768341064,2.0166587539997636,0.1166538919997037,54.04979884862205,934.3880271073748,0.9712300300598145,1.07,9.230838312166878,17.28753939907025,0.035489797592163086
